Month,app_name,total_reviews
6,Bluesky,129
5,Bluesky,174
7,Bluesky,169
12,Alibaba.com - B2B marketplace,1416
1,Alibaba.com - B2B marketplace,1339
3,Alibaba.com - B2B marketplace,1686
2,Alibaba.com - B2B marketplace,1503
11,Alibaba.com - B2B marketplace,1311
6,Alibaba.com - B2B marketplace,923
8,Alibaba.com - B2B marketplace,1089
7,Alibaba.com - B2B marketplace,1015
9,Alibaba.com - B2B marketplace,1125
4,Alibaba.com - B2B marketplace,1364
10,Alibaba.com - B2B marketplace,1162
5,Alibaba.com - B2B marketplace,1067
8,Talkie: Creative AI Community,629
4,Talkie: Creative AI Community,1389
1,Talkie: Creative AI Community,1663
3,Talkie: Creative AI Community,2201
2,Talkie: Creative AI Community,1855
11,Talkie: Creative AI Community,1018
12,Talkie: Creative AI Community,1247
10,Talkie: Creative AI Community,752
9,Talkie: Creative AI Community,638
6,Talkie: Creative AI Community,371
7,Talkie: Creative AI Community,544
5,Talkie: Creative AI Community,432
0,Talkie: Creative AI Community,1
3,NCAA March Madness Live,7638
4,NCAA March Madness Live,758
9,NCAA March Madness Live,3
2,NCAA March Madness Live,27
10,NCAA March Madness Live,6
8,NCAA March Madness Live,9
5,NCAA March Madness Live,16
12,NCAA March Madness Live,10
7,NCAA March Madness Live,8
11,NCAA March Madness Live,7
6,NCAA March Madness Live,7
1,NCAA March Madness Live,3
4,U-Haul,549
2,U-Haul,373
1,U-Haul,395
11,U-Haul,484
12,U-Haul,454
10,U-Haul,441
6,U-Haul,491
9,U-Haul,520
5,U-Haul,540
3,U-Haul,557
7,U-Haul,526
8,U-Haul,592
6,TikTok Studio,130
3,TikTok Studio,130
4,TikTok Studio,69
2,TikTok Studio,87
1,TikTok Studio,167
12,TikTok Studio,154
11,TikTok Studio,144
10,TikTok Studio,120
8,TikTok Studio,172
7,TikTok Studio,106
9,TikTok Studio,114
4,Smart Home Manager,1148
3,Smart Home Manager,1167
2,Smart Home Manager,1070
1,Smart Home Manager,1168
12,Smart Home Manager,1108
11,Smart Home Manager,1022
7,Smart Home Manager,1080
5,Smart Home Manager,998
9,Smart Home Manager,1061
6,Smart Home Manager,975
8,Smart Home Manager,1066
10,Smart Home Manager,1074
2,Frontier Airlines,680
10,Frontier Airlines,786
8,Frontier Airlines,726
4,Frontier Airlines,722
3,Frontier Airlines,793
11,Frontier Airlines,793
12,Frontier Airlines,743
1,Frontier Airlines,848
9,Frontier Airlines,726
7,Frontier Airlines,1010
6,Frontier Airlines,772
5,Frontier Airlines,658
